SMILES,MolecularWeight,LogP,RotatableBonds,HBondAcceptors,HBondDonors,FormalCharge
CC(=O)OC1=CC=CC=C1C(=O)O,180.042258736,1.3101,2,3,1,0
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.08037556,-1.0293,0,6,0,0
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.130679816,3.073200000000001,4,1,1,0
CN1C=NC2=C1C(=O)NC(=O)N2C,180.064725496,-1.0397,0,5,1,0
CC(=O)Nc1ccc(O)cc1,151.063328528,1.3505999999999998,1,2,2,0
COC1=CC=C(C=C1)CCN(C)CCCC(C#N)(c2ccc(OC)cc2)C3=CC=CC=C3,428.24637826399993,5.468180000000006,11,4,0,0
CC(C(=O)O)c1ccc(cc1)C(=O)c2ccc(Cl)cc2,288.05532195600006,3.759100000000002,4,2,1,0
CCN(CC)CCOC(=O)C(C1CCCCC1)c2ccccc2,317.23547923200005,4.235500000000004,8,3,0,0
Clc1ccccc1C(=O)NCCN(CCO)CCO,286.108420148,0.35639999999999944,8,4,3,0
CC12CCC(CC1)CC(C)(C)O2,168.15141526,3.1342000000000017,0,1,0,0
CC(CS)C(=O)N1CCCC1C(=O)O,217.07726434,0.6279000000000001,3,3,2,0
CCO,46.041864812,-0.0014000000000000123,0,1,1,0
COc1cc2c(cc1OC)C(=O)C(CC2)(C)C,234.125594436,2.858900000000001,2,3,0,0
CC(C)(C)NCC(O)c1ccc(O)c(O)c1,225.136493468,1.5192999999999997,3,4,4,0
NC(=O)N1c2ccccc2C=Cc2ccccc21,236.094963004,3.3872000000000018,0,1,1,0
CNCCC(Oc1ccccc1C)c1ccccc1,255.162314292,3.7246200000000034,6,2,1,0
CCCC(C)(COC(=O)N)COC(=O)N,218.126657056,0.9834000000000003,6,4,2,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,405.09945632800003,-0.01189999999999758,6,7,3,0
CCOC(=O)C1=C(COCCN)NC(C)=C(C1c2ccccc2)C(=O)OC,374.18417193199997,1.6128999999999998,8,7,2,0
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.173213324,2.5837400000000006,5,2,1,0
